"Farinhas, féculas e massas",Macarrão,158,5.8,0.93,30.86,1.8
"Farinhas, féculas e massas",Purê de batata,115.16,1.81,4.36,17.76,1.78
"Farinhas, féculas e massas",Bife vegetal,142.37,18.51,5.32,5.8,0.44
"Farinhas, féculas e massas",Carne vegetal - Frito(a),142.37,18.51,5.32,5.8,0.44
"Farinhas, féculas e massas",Pasta de soja,62,6.9,2.7,2.4,0.1
"Farinhas, féculas e massas",Carne de soja,142.37,18.51,5.32,5.8,0.44
"Farinhas, féculas e massas",Amendoim moído,567,25.8,49.24,16.13,8.5
"Farinhas, féculas e massas",Granola,388,9.5,6.3,73.8,8.5
"Farinhas, féculas e massas",Musli,388,9.5,6.3,73.8,8.5
"Farinhas, féculas e massas",Mix de cereais,388,9.5,6.3,73.8,8.5
"Farinhas, féculas e massas",Miojo,189.86,5.65,7.18,25.54,1.16
"Farinhas, féculas e massas",Macarrão instantâneo,189.86,5.65,7.18,25.54,1.16
"Farinhas, féculas e massas",Sustagem,369.15,24.05,0.49,68.02,
"Farinhas, féculas e massas",Proteína de soja,142.37,18.51,5.32,5.8,0.44
"Farinhas, féculas e massas",Proteína vegetal,142.37,18.51,5.32,5.8,0.44
"Farinhas, féculas e massas",Complemento alimentar de qualquer sabor,369.15,24.05,0.49,68.02,
"Farinhas, féculas e massas",Sucrilhos de milho light,365,7.2,1,83.8,4.1
"Farinhas, féculas e massas",Mini pizza semipronta light - Assado(a),255.57,14.6,8.45,29.82,1.74
"Farinhas, féculas e massas",Macarrão instantâneo light - Sopa,189.86,5.65,7.18,25.54,1.16
"Farinhas, féculas e massas",Macarrão instantâneo light,189.86,5.65,7.18,25.54,1.16
"Farinhas, féculas e massas",Proteína de soja orgânica,142.37,18.51,5.32,5.8,0.44
"Farinhas, féculas e massas",Macarrão com carne,120.59,6.22,2.79,17.42,1.25
"Farinhas, féculas e massas",Macarrão com peixe,163.17,14.98,4.13,15.43,0.9
"Cocos, castanhas e nozes",Coco-da-baía (seco ou verde),354,3.33,33.49,15.23,9
